masked,original
##뒤 윤서인은 재될것임. 말하나하나가 틀린게없음,10년뒤 윤서인은 분명히 재평가될것임. 말하나하나가 틀린게없음
##살 넘을텐데 부부라고? 무슨인지 긍금하네..,10살 차이가 넘을텐데 부부라고? 무슨 내용인지 긍금하네..
166에 57. 4 필요없지만건강위해더뺄다들 더마르게,166에 57.4 다이어트 필요없지만건강위해더뺄거야다들 더마르게봄
##년도 아니고년이 진짜 너무했다 이것이 사랑만으로 가능할수 있는지 도저히 납득이 가질 않는다,17년도 아니고 27년이면 진짜 너무했다 이것이 사랑만으로 가능할수 있는지 도저히 납득이 가질 않는다
180넘어갈 기럭지는 아님78에서79180넘는 의심. 의구심을 안하고안듬그래도 비율좋아 커보이긴,180넘어갈정도의 기럭지는 아님78에서79180넘는애들은 의심.의구심을 안하고안듬그래도 비율좋아 커보이긴함
##년 자유당 시절에에 입학하셨다가 할리우드로 진출하셨어요? 대단하신 분이셨군요.,1959년 자유당 시절에 하버드 로스쿨에 입학하셨다가 할리우드로 진출하셨어요? 대단하신 분이셨군요.
##에서로 바뀌고 망트리거...,19에서15로 바뀌고 망트리 탄거...
##도 안아깝다 ☝☝️☝️☝️☝️☝️☝,1억도 안아깝다 ☝️☝️☝️☝️☝️☝️☝️
1일1식은 난 못하겠네 흐흐 한상진함,1일1식은 난 못하겠네 흐흐 한상진씨 연기잘함
1회에 교도소에서 마취도 없이 자기몸 꿰거랑뜨거운 커피말고 차가운거만먹는거아랏 난 무통증 무감각이라고,1회에 교도소에서 마취도 없이 자기몸 꿰매는거랑뜨거운 커피말고 차가운거만먹는거보고아랏는데 난 무통증 무감각이라고
##년도 봤는데 서지영이랑 스포츠카타고온거... 18이네 ㅎㅎ,2002년도 여름에 봤는데 서지영이랑 스포츠카타고온거...18년전이네 ㅎㅎ
마마 화사,2018년 마마 진정한 승자 화사
206000달러 중 겨우 계약금 수준인 34700을 지불안했다면 뭔같아기어 박아요,206000달러 중 겨우 계약금 수준인 34700을 지불안했다면 뭔 사정이 있을거같아 중립기어 박아요
##째애중? 길다.,20년째 열애중? 너무 길다.
##년종처럼 한결 같기는 힘들겠지만 서로 양보하고 배려하며 비슷하게만 살아도 싸울일 반으로 줄이고 아내 행복하게 만들어줌,26년 최수종님처럼 한결 같기는 힘들겠지만 서로 양보하고 배려하며 비슷하게만 살아도 싸울일 반으로 줄이고 아내 행복하게 만들어줌
39세라고 나와있구만 ㅡㅡ 양세 아님???,39세라고 나와있구만 ㅡㅡ 양세종은 20대 아님???
3일에 12어치만큼력있는 사람입니다. 왜 다들 조롱만 하나요? 잘 알지 못한다면 더더욱 함부로 말하면 안되죠.,3일에 12억원어치 팔만큼 파급력있는 사람입니다. 왜 다들 조롱만 하나요? 잘 알지 못한다면 더더욱 함부로 말하면 안되죠.
"45억 빚진것도 신기하고, 그 빚을 이미 완전 인기가 저물어도 몇년만에는다는게 더 신기하다. 그러면 홍진영 이런애들은 1년에다는거야 ㅋㅋ","45억 빚진것도 신기하고, 그 빚을 이미 완전 인기가 저물어도 몇년만에 갚는다는게 더 신기하다. 그러면 홍진영 이런애들은 1년에 얼마 번다는거야 ㅋㅋ"
##키로 좋 ~ ~ ~,52키로 딱 좋앙~~~
53살면 어때 아빠가 곽성인데....,53살 아빠면 어때 아빠가 곽부성인데.... 축하해요
6월 29일 전미선에 이어 7월 31일 박일님... 올해 연예계 비보가는 거죠?,6월 29일 전미선에 이어 7월 31일 박일 성우님... 올해 몇번째 연예계 비보가 내려오는 거죠?
M & A전문가 직업이? ^ ^ PF금융업억 종사 저런 직업은 처음. ㅋ,M&A전문가란 직업이 있어요?^^PF금융업억 종사하는데 저런 직업은 처음.ㅋ
Yg가 망하면 안되는이유 걸적톱 블랙핑크 때문이라도 흥해야함,Yg가 망하면 안되는이유 걸그룹 독보적 원톱 블랙핑크 때문이라도 흥해야함
##가이지,bts가 짱이지
##g겠지 했을까,cg겠지 저걸 실제로 했을까
##m진은 kbs아나들만 하는줄알았는데..,fm대행진은 kbs아나운서들만 하는줄알았는데..
jyp 구내식당 진짜 모든들중에서이,jyp 구내식당 진짜 모든회사들중에서 갑이더라
##로애인정 맞은거아녀????,sns로 열애인정해서 맞은거아녀????
##n은 진짜 또 걸리냐 ㅋㅋ 불쌍하다.,tvn은 진짜 또 걸리냐 ㅋㅋㅋ 불쌍하다..
~나이 쉰네살인 순간순간 옛기억이 떠오를때 부끄러워 나혼자 몸이 오그라들때가 ~ 공배우님도 그런 느낌 아닌까요 ~,~내나이 쉰네살인데 순간순간 옛기억이 떠오를때 부끄러워 나혼자 몸이 오그라들때가 있는데 ~공배우님도 그런 느낌 아닌까요~
##ㅏ경 미모 봐라. 실화냐?,ㄴㅏ경원 미모 봐라. 실화냐?
ㅇㄴㅇ 맴버중 한명은 친할법한데.. ㅇㅇ지... 있었던거냐,ㅇㄴㅇ 맴버중 한명은 친할법한데 ..ㅇㅅㅇ 라던지... 무슨일이 있었던거냐
ㅋㅋ 첫 열애 기사 떴을 때 베뎃 전부 다 단톡방 내용이었는데 글쓴 쫄리 제발 선처 해주지 않았으면 좋겠다,ㅋㅋ 첫 열애 기사 떴을 때 베뎃 전부 다 단톡방 내용이었는데 글쓴 애들 쫄리겠네ㅋㅋ 제발 선처 해주지 않았으면 좋겠다
ㅋㅋㅋ 츄 ㅋㅋㅋ 짠내에서 ㅋㅋㅋㅋㅋ 정말 해드라 ㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋ 츄 ㅋㅋㅋ 짠내투어에서 봤다 ㅋㅋㅋㅋㅋ 정말 해맑드라 ㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋ당가 아니라 막거지,ㅋㅋㅋㅋ당당하게가 아니라 막나가는거지
ㅋㅋㅋ복면가왕 여자가왕 소향이,ㅋㅋㅋ복면가왕 레전드 여자가왕은 소향이지
ㅋ그 여자랑 알렉스가 팔던... 커서 바느질하고 있었는데 나옴 ~ ㅎㅎ바지가 보 난리 ~ ㅜ,ㅋ그 여자랑 알렉스가 팔던 바지. . . 커서 바느질하고 있었는데 나옴~ ㅎㅎ바지가 보풀이나서 난리~ ㅜ
ㅋ재져된다,ㅋ넘재미져 힐링된다
ㅎㅎ신부가 옆에 있으니 다른이미지보이네요 부끄러워하는건지ㅎ하고요아 울집 시어머니보시면 안될.. 48우리 아주님 장가가라 다시 말씀하실듯.. ㅎ,ㅎㅎ신부가 옆에 있으니 다른이미지보이네요 부끄러워하는건지ㅎ축하하고요아 울집 시어머니보시면 안될것같아요..48우리 아주버님 장가가라 다시 말씀하실듯..ㅎ
ㅠㅠ 박일성빙한 영화를 보며 성장한거나 마찬가지입니다. 목소리 그리울꺼예요. 삼가 고인의명복을빕니다.,ㅠㅠ 박일성우님이 더빙한 영화를 보며 성장한거나 마찬가지입니다. 목소리 그리울꺼예요.삼가 고인의명복을빕니다.
가면왕 아직도 하네.다 ㄹ,가면가왕 아직도 하네 ..반갑다 ㄹ
##관으로 ~ ~ ~,가자 장미여관으로~~~
간만에 한번보려다 보기겨워 채널돌림 왜그래풍상씨 새로하네은 이걸루,간만에 한번보려다 보기힘겨워 채널돌림 왜그래풍상씨 새로하네 수목은 이걸루~
갈 가는게이죠... 삼가고인의,갈사람은 가는게 이치이죠...삼가고인의명복을빕니다
##도죠 ~ ~ ~ 되었더라면 출국 못하는거고 ~ ~ 별걸 다 걱정하십니다.,갈수도 있는거죠~~~못가게 되었더라면 출국 못하는거고~~별걸 다 걱정하십니다.
##져,갈수록 재미 없어져
종,갈수록 종답이네
,갈수록 호감ㅋ
##만 한게같.. 방송보다 누구지 했는데,감량만 한게 아닌거같던데..방송보다 누구지 했는데
감우성 연기 완전 ㅠㅠ초딩들이 울었네요ㅠㅠ최니다 *!!!!,감우성 연기 완전 대박 ㅠㅠ초딩 아들들이 울었네요ㅠㅠ최곱니다*!!!!
##♡이 더 잘렸는데 아쉽,강남♡유이 더 잘어울렸는데 아쉽
##이같지..,강남이 왜 거짓말같지..
##지옷이으로냐? 기자야,강수지옷이 흰색으로보이냐?기자야
강원래 엄청 까였 좋아해주는가보네?,강원래 한동안 엄청 까였었는데 이제는 좋아해주는가보네?
강타 지디 영웅재중 탑 방탄 동해 이특 시원 애들만생기고 비얼음,강타 지디 영웅재중 탑 방탄 동해 이특 시원 애들만 잘생기고 비쥬얼좋음
##형우캍은 사람이 정이 많아보이지 저런사람이 칼 자르면 정말 냉정하단다,강형우캍은 사람이 정이 많아보이지만 저런사람이 칼같이 자르면 정말 냉정하단다
##김ㅋㅋㅋㅋㅋㅋ,개웃김 ㅋㅋㅋㅋㅋㅋㅋㅋ
##g랑 잘릴거같긴한데 ㅠ,개인적으로 yg랑 잘어울릴거같긴한데 ㅠ
눈물은 윤세리보다 서단이 훨씬 슬음,개인적으로 눈물 씬은 윤세리보다 서단이 훨씬 슬펐음
개존임보세요,개존잼임 이거 꼭보세요
##적으로 희성이랑됐 좋겠다,갠적으로 희성이랑 연결됐음 좋겠다
걍 가볍게좋당아까울정도는아니였음,걍 가볍게 주말에보기좋당 돈아까울정도는아니였음
건나 없음 시청없다,건나블리 없음 시청의미없다
건축학 개 지금 다시 봤는데 솔직히 건축학 개 보다는 아닙니다ㅋ 건축학 개론은 건들지 맙시다ㅋ 볼때마다 애려 옵니다ㅜㅜ,건축학 개론 지금 다시 봤는데 솔직히 건축학 개론 보다는 아닙니다ㅋ 건축학 개론은 건들지 맙시다ㅋ 볼때마다 가슴이 애려 옵니다ㅜㅜ
##하네,겁나 이쁘긴하네
##가이네?,게리가 두명이네??
##별로여도태땜에 볼듯,게스트별로여도 차태현땜에 볼듯
##나올때까지는 신동욱편도 조부편도 들면 안될듯ㅡ사실 연예인들이 뒷통수치는걸 종종 봐서 지금은 아끼고 좀더땐거같음,결과나올때까지는 신동욱편도 조부편도 들면 안될듯ㅡ사실 연예인들이 뒷통수치는걸 종종 봐서 지금은 말을 아끼고 좀더 지켜볼땐거같음
결국 유연석도 ㅋㅋㅋㅋ프렌즈사기에 잘 끝났네,결국 유연석도 ㅋㅋㅋㅋ커피프렌즈는 적당한사기에 잘 끝났네
쥬글,결국 쥬비스 광고글
결국은 주말시간대에 20프로 실패했구나 역시 스브스는 평일시간대에 21프로 돌파한 김사부2가 최고네 김사부2는 초중반에 21프로 돌파중인데ㄷㄷㄷ 김부2 한규 확정 ㄷㄷㄷ,결국은 주말시간대에 20프로 실패했구나 역시 스브스는 평일시간대에 21프로 돌파한 김사부2가 최고네 김사부2는 초중반에 21프로 돌파중인데ㄷㄷㄷ 김사부2 한석규 대상 확정 ㄷㄷㄷ
##베같은 남자...,결혼은 알베같은 남자와...
결혼하고 인기하락....지???,결혼하고 인기급하락....왜지???
결혼해서 더거 ~ ~ ~ 친구들과의 넘거 ~ ~,결혼해서 더 느끼는거~~~ 친구들과의 시간이 넘 좋다는거~~
경규형률이네,경규형 다 최고시청률이네
경솔하다.. ; ;친이 같이 방송일분..,경솔하다..;;전여친이 같이 방송일 하시는분인데..
##스럽고 고집도 있어부러져보임,고급스럽고 고집도 있어보이고 똑부러져보임
##럼럼,고럼고럼 당연한거지
##하지 ~ 사람 괴롭히고 ~,고마하지 좀~ 사람 그만 괴롭히고~
고모닮았네 ~ 컸ㅎ,고모닮았네~~많이 컸네ㅎ
##하기었을텐데하신듯 ^ ^,고백하기 힘들었을텐데 대단하신듯^^
##가 도망간건게 왜 얘임?? 도망간애 다시 데려와서 키우고 왜??,고양이가 도망간건게 왜 얘 잘못임?? 도망간애 다시 데려와서 키우고 있다는데 왜??
고이은주배우와 서로했다고했을때랑모습ㅇ다,고이은주배우와 서로사랑했다고했을때랑 너무다른모습ㅇ다
고현정리스마 넘이다,고현정카리스마ㄷㄷ 넘이쁘다
같이 친게의 사건과 공모했다는 증거야 뭐야? 왜 박한별이받지?,골프 같이 친게 남편의 사건과 공모했다는 증거야 뭐야? 왜 박한별이 비난받지?
싶어서 하나? 기자들이 캐고 다니면서 단독 타이틀 걸고기사내니까 하지. 기자가 일으키고 기자가 부추기고 기자가하네,공개하고 싶어서 하나?기자들이 캐고 다니면서 단독 타이틀 걸고기사내니까 하지..기자가 일으키고 기자가 부추기고 기자가 걱정하네
보지,공연 보지 맙시다 ㅠ
"과했다. 일본정부의 잘못이지, 원폭으로 죄 죽은들의 잘못이. 이게 얼마나 무서운 행위인지 인지하지 못한다는게 더 무섭게 느껴진다.","과했다. 일본정부의 잘못이지, 원폭으로 죄없이 죽은 민간인들의 잘못이 아니다. 이게 얼마나 무서운 행위인지 인지하지 못한다는게 더 무섭게 느껴진다."
광형님 성형팬 꼭좀 전해주세요,광규형님 성국이형팬입니다 꼭좀 전해주세요
교통사고 피해자랑 합의를 하면 형사처벌을 안받는게 노엘이 합의금 후하게 주고 합의 성사가 원만하게 된 거를건지 모르겠다 ㅋ,교통사고 피해자랑 합의를 하면 형사처벌을 안받는게 아닌데 노엘이 합의금 후하게 주고 합의 성사가 원만하게 된 거를 왜 까는건지 모르겠다 ㅋ
구미호때 연기셨,구미호때 연기 정말 잘하셨었음
구씨덕에 이것도 안 믿기네.까지자,구씨덕에 이것도 안 믿기네. 결과 나올때까지 기다리자
구짱,구짱도 행복하세요
##찌촬영중억 찍으셨나보네요 ~ ^ ^!!,구찌 화보촬영중억 찍으셨나보네요~ 멋져요^^!!
구혜선,구혜선 화이팅..
구혜선 ~길,구혜선 화이팅~ 꽃길만 걷길
구혜선,구혜선 힘내세요.
구혜선이 인스타 글만 올리면 준비했다가 기사올라오고 댓글들 순식간에 달리고.. 이상하다는 분 많네요. 연예소속사 비리원 ~ ~ 밖에나가도 이상하다는 분들 많아요,구혜선이 인스타 글만 올리면 준비했다가 기사올라오고 댓글들 순식간에 달리고..이상하다는 분 많네요.저도 연예소속사 비리 국민청원원해요~~밖에나가도 이상하다는 분들 많아요
국민 엠,국민 엠씨 가즈아
,군대부터 가야지
군대생활 기계가 할거,군대생활도 기계가 할거나?
궁금해서 인스타 구경했는데 열심히 영상도 올리고 걍게 보이는데 ㅋㅋㅋㄹㅇ 여자,궁금해서 인스타 구경했는데 열심히 영상도 올리고 걍 귀엽게 보이는데 ㅋㅋㅋㄹㅇ 여자임 전
##없으면 이래라 저래라,권리없으면 이래라 저래라 말하지마
,귀여운 커플
규도 줘요 ~ ~ ♡♡,규현도 이제 껴 줘요~~♡♡
그 여자도 인생이 치욕스러운 오래도록 잊혀 않을겁니다. 아무리 10년 전 일이라지만 내 욕구 잠시 채우고자 했던 행동들 충분히 반성하시고 다시 돌아오세요..,그 여자도 인생이 바뀌고 치욕스러운 고통은 오래도록 잊혀지지 않을겁니다.아무리 10년 전 일이라지만 내 욕구 잠시 채우고자 했던 행동들 충분히 반성하시고 다시 돌아오세요..
그걸 즐기는 거면 할 말은 없다 ~ ㅋㅋㅋㅋ 같은 저러는 거 이해가 되 함 ㅋㅋㅋㅋㅋㅋ,그걸 즐기는 거면 할 말은 없다만~ ㅋㅋㅋㅋ 같은 저러는 거 이해가 안 되긴 함 ㅋㅋㅋㅋㅋㅋ
사람이 황수정.,그나마 이미지 비슷한 사람이 황수정.
그나이에하고 ~,그나이에 용감하고 멋지세요~
..충 연예인인가요??,그나저나..김충재는 연예인인가요??
그냥 둘이 맘에있는듯 ~ ~ 홍진영은 등치있고있는 상탈을 좋아하고 김종국도 애교많은 여자를 좋아하는듯ㅋ,그냥 둘이 맘에있는듯~~홍진영은 등치있고 리더십있는 상남자스탈을 좋아하고 김종국도 애교많은 여자를 좋아하는듯ㅋ
,그냥 보통인듯
##어라 ^ ^ * ♡,그냥 사귀어라*^^*♡
그냥 되게 많이 하신 깡마른 허벅지보단 보기 좋음,그냥 운동 되게 많이 하신거 같은데 깡마른 허벅지보단 보기 좋음
,그냥 응원합니다
그냥 이렇게 바이인 데뷔가 답이다,그냥 이렇게 된 이상 바이나인 데뷔가 답이다
그냥 잘생긴 개그맨이라 생각했는데 머리 밀어버 엄청생겼네요 ; ; 너무생겨서 당황스러운..,그냥 잘생긴 개그맨이라 생각했는데 머리 밀어버리니 엄청 잘생겼네요;; 너무 잘생겨서 당황스러운..
,그냥 재밌게 봅시다
,그냥 하차해요
그다지... 애들 ~ ~ ~ ~,그다지 ...애들땜에 봤지~~~~
그래도 난다 ~ 파격적으로 김현주랑 좋겠다,그래도 난 재미있다~ 파격적으로 김현주랑 이어지면 좋겠다
그래도 욕은.. 니들 썩은재료에 위생더러운 음식점이 얼마나.. 차라리 맛없는게 낫지,그래도 욕은 하지마라.. 니들 모르게 썩은재료에 위생더러운 음식점이 얼마나많은데.. 차라리 맛없는게 낫지
유혹자 포상휴가죠,그래도 유혹자 포상휴가는 가야죠
##를 베풀 더 좋았을거 같다 설현아...,그래도 자비를 베풀면 더 좋았을거 같다 설현아...
##생겼으니 조금만 쉬고 나오면 다해 주것지.. 한국은 외모지장주의의 나라니까 다행다행.. 복귀 기념 콘서트 성황리에 매진! 함내세용,그래도 잘생겼으니 조금만 쉬고 나오면 다 이해해 주것지..한국은 외모지장주의의 나라니까 다행다행..복귀 기념 콘서트 성황리에 매진! 함내세용
혜빈이가 잘줘서 다행이네..,그래도 혜빈이가 그동안 잘 참아줘서 다행이네..
그래도웃긴다....처리하면될. 생명의은인인데.,그래도웃긴다.... 모자이크처리하면될걸. 생명의은인인데 너무한다.
"그러고 보니 개그맨, 개그우먼들이 잘사귀다 결혼하고 또 오랬? 없이사네","그러고 보니 개그맨,개그우먼들이 잘사귀다 결혼하고 또 오랬동안 트러블? 없이 잘사네"
##구태현네 소속사 배우가 안좋은일로 이러는거 처음보는거 같네 ~,그러구보니 차태현네 소속사 배우가 안좋은일로 이러는거 처음보는거 같네~
그럴 있지 이 까짓게 뭔 홍자 목소리가 더 좋아,그럴 수도 있지 이 까짓게 뭔 논란이야 홍자 목소리가 더 좋아
그럼 보 외롭잖아...,그럼 보검이가 외롭잖아...
그렇게 큰죄를 지었나? 침해가 심한.!,그렇게 큰죄를 지었나? 사생활 침해가 너무 심한대.!
그렇죠ㅡjyp는 멋진스승나 열심히하길! jyp영하라,그렇죠ㅡjyp는 멋진스승이죠 어디서나 열심히하길!jyp영원하라
##비시다ㅡ솔직히 딸이 대세니 그냥 할수있는말같은디ㅜ왜들그렇게... 그냥..히 낳길 축복해줍시다 ~,그만좀비꼽시다ㅡ솔직히 딸이 대세니 그냥 할수있는말같은디ㅜ왜들그렇게...그냥..건강히 낳길 축복해줍시다~
"그분들 몰려오겠네, 남한테 피해주는것도하고싶어서 하는건데 뭐라고들 하지맙시다.","그분들 몰려오겠네 에휴, 남한테 피해주는것도 아니고 본인이하고싶어서 하는건데 뭐라고들 하지맙시다."
"그와중에 박수홍씨급은 없네용 바쁘셨나,.코디. 삼가고인의명복을","그와중에 박수홍씨언급은 없네용 바쁘셨나 , . 힘내세요코디 . 삼가고인의명복을 빕니다"
그와중에 조보 너무다....,그와중에 조보아 너무 예쁘다....ㅠ
지성이 맡은 정말 별로,극중 지성이 맡은역할 정말 별로
##년 문자만 공개된거면 그 이후에는 짓 한게 없어서 10년 전 카톡으로 협박한거 아님?,근데 2014년 문자만 공개된거면 그 이후에는 나쁜 짓 한게 없어서 10년 전 카톡으로 협박한거 아님?
근데살도 유모차 씀?? 애가 15년 초 출생인걸로 아는데..살이 유모차탈나이는 지나지 않았나,근데 5살도 유모차 씀?? 애가 15년 초 출생인걸로 아는데.. 5살이면 유모차탈나이는 지나지 않았나
근데 궁금한데 이혼 시부모나 장인장모랑 어떻게 되냐? 길에서 어떻게 되게 궁금하네. 관계가 달라졌으니 서로 뭐라고 호칭할지 어떻게 대할지 궁금해.,근데 궁금한데 이혼하면 시부모나 장인장모랑 어떻게 되냐? 길에서 만나면 어떻게? 되게 궁금하네. 관계가 달라졌으니 서로 뭐라고 호칭할지 어떻게 대할지 궁금해.
근데 김은숙 작가은 항상는 쳐ㅠㅠ,근데 김은숙 작가 작품은 항상 후반부는 쳐진다ㅠㅠ
근데 너무 김수현 말투하는 느낌이... 목소리가데까지...,근데 너무 김수현 말투 따라하는 느낌이...목소리가 비슷한데 말투까지...
근데 애교스럽? 기분나쁜 투라기,근데 댓글이 애교스럽던데 ? 기분나쁜 투라기보다는
민아까지 나가면 노래는한다냐??,근데 민아까지 나가면 노래는 누가한다냐??
근데 박보검이랑 나오는는 도저히 보.....,근데 박보검이랑 나오는 드라마는 도저히 못 보겠다.....
근데 여자긴 오지게 예쁘다 여자의 첫사랑이 정겨운이라면 정겨운은 진짜너다,근데 여자 이쁘긴 오지게 예쁘다 저 여자의 첫사랑이 정겨운이라면 정겨운은 진짜 위너다
근데 이렇게하고 흥분하는 많지 ~ ~ ~ ~ ~ ~,근데 왜 이렇게 오바하고 흥분하는 사람들이 많지~~~~~~
근데 이 분 진짜 뺨쳐는 반박불가,근데 이 분 진짜 영화배우 뺨쳐요 미모는 반박불가
근데 이건 솔직히 불법영업인지 모를수도 있을것같은데.. 그냥 유흥업소 알...,근데 이건 솔직히 불법영업인지 모를수도 있을것같은데..그냥 유흥업소인건 알앗을거고...
근데슬혜는이 황우임?씨가 있나,근데 황우슬혜는 성이 황우임 ? 황우씨가 있나
근데... 왜 나오지? ㅋㅋ 가족단위 합산 과세도 아니고..... 오히려 결혼 하면 더 잇는데... ㅋㅋㅋ,근데... 세금이 왜 더 나오지?ㅋㅋ 가족단위 합산 과세도 아니고..... 오히려 결혼 하면 혜택이 더 잇는데...ㅋㅋㅋ
##이혁은유부로 돈벌,근데이혁은유투부로 돈벌던데
근디 한서희는 무슨 쓰 이쁘. 정상적으로 데뷔했으면 꽤 떴을것같다,근디 한서희는 무슨 사진을 쓰더라도 이쁘네. 정상적으로 데뷔했으면 꽤 떴을것같다
##도 빡 했을텐데 근육이 없네.. 3달이면 충분히 눈에 보일만큼 생기는데,근력 운동도 빡시게 했을텐데 근육이 없네.. 3달이면 충분히 눈에 보일만큼 생기는데
금방 끝날줄 알았는데 이리 길게도 가니 정신적 교감이 있는인가? 어쨌든 보기 드물긴하다. 그리고 김민희 에다,금방 끝날줄 알았는데 이리 길게도 가니 진짜 정신적 교감이 있는 사랑인가? 어쨌든 보기 드물긴하다.그리고 김민희 에쁘다
##적 마인드... 어쩜기도,긍정적 마인드... 어쩜 부럽기도해요
##합 몽이님,기대합니당 몽이 행님
기사를 봐도 뭔소리인지 모르겠네. 게다가 저당시 세균전이라니...라도...이지?,기사를 봐도 뭔소리인지 모르겠네. 게다가 저당시 세균전이라니...판타지라도 이건... 농담이지?
기사에 맨날 단발 댓글만 달려서 본인은 속상할 수도 있겠지만 단발이 너무 심하게 잘 어울려.발 때랑 너무 심해 ㅋㅋ,기사에 맨날 단발 댓글만 달려서 본인은 속상할 수도 있겠지만 단발이 너무 심하게 잘 어울려. 긴발일 때랑 차이가 너무 심해 ㅋㅋ
,기안84 좋아요
스했음,기안편은 스킵했음
기어다닐 진짜 ㅋㅋ,기어다닐때가 진짜 귀여웠는데 ㅋㅋ
이성재??? 육,기자님 이성재요???육인데
기자님 푹 빠져서나보네요 ㅋㅋ어 들마 못봐서 엄청 궁금했는데 재 안봐도 되겠다는... ㅋㅋㅋㅋ,기자님 푹 빠져서 보시나보네요 ㅋㅋ어제 들마 못봐서 엄청 궁금했는데 재방 안봐도 되겠다는...ㅋㅋㅋㅋ
##도 썼다지 않을 정도 살찌면 괜찮지,길게도 썼다 아프지 않을 정도만 살찌면 괜찮지
길용인 줄,길용인 줄 알았음 ㅜㅜ
김건모 서태지함,김건모 서태지 느낌이 비슷함
김고연 이고같다.. ^ ^,김고연 진짜 이뿌고 한결같다.. ^^
김고은 속 사진보고 왔는데... 훨씬심 ^ ^,김고은 기사 속 사진보고 왔는데.. . 훨씬 아름다우심 ^^
김명민 김현주 이어주ㅠㅠㅠ너무커,김명민 김현주 이어주세요ㅠㅠㅠ너무 이쁜커플
김민희대..해주고싶다,김민희배우좋은대.. 응원해주고싶다
김민희씨 보지 늘하세요,김민희씨 뒤돌아 보지 말고 늘 행복하세요
김보라 얘는 이때까지 맡은들보면 전부다 우울하고 비극 역할뿐이 ~ ~,김보라 얘는 이때까지 맡은 배역들보면 전부다 우울하고 비극적인 역할뿐이드라~~
##라 이쁘네,김보라 이쁘네
김보미가 더하지? 골프계의 아이돌,김보미가 더 유명하지 않냐? 골프계의 아이돌인데
##롬씨 때문에 맘고생이 심했나보네요 부디 힘내시고 법원도 부디해주길,김새롬씨 때문에 맘고생이 심했나보네요 부디 힘내시고 법원도 부디 선처해주길
김생민도,김생민도 보고싶어요 ㅠ
##미 정말한 사람이다. 40년간 이렇게 종횡무진할수 있는 사람 별로없다.,김수미 선생님이 정말 힙한 사람이다. 40년간 이렇게 종횡무진할수 있는 사람 별로없다.
김수미씨짱✌✌보고있으면힐링두돼고 틀박인이랑 차이나요 구수한입담 정겨운 마음씨 옆집 화끈하고 시원스런 동네큰언니같아서 최고최고✌✌✌,김수미씨짱✌✌보고있으면힐링두돼고 틀에박인 요리프로그램이랑 차이나요 구수한입담 정겨운 마음씨 옆집 화끈하고 시원스런 동네큰언니같아서 최고최고✌✌✌
